Method	MaxD	QC	Ref	Mat	LEN_Cutoff	N_SNP_Cutoff	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	Raw	GSA	OEE	120000	40	325	559	395	0.451	0.368	0.549	0.632	0.405	0.407	0.254
FullSet	0	QCd	GSA	OEE	120000	40	192	111	178	0.519	0.634	0.481	0.366	0.571	0.573	0.399
FullSet	0	Raw	GSA	OEE	120000	45	291	497	308	0.486	0.369	0.514	0.631	0.42	0.424	0.266
FullSet	0	QCd	GSA	OEE	120000	45	170	102	141	0.547	0.625	0.453	0.375	0.583	0.584	0.412
FullSet	0	Raw	GSA	OEE	120000	50	248	454	238	0.51	0.353	0.49	0.647	0.418	0.425	0.264
FullSet	0	QCd	GSA	OEE	120000	50	145	87	101	0.589	0.625	0.411	0.375	0.607	0.607	0.435
FullSet	0	Raw	GSA	OEE	140000	10	473	723	868	0.353	0.395	0.647	0.605	0.373	0.373	0.229
FullSet	0	QCd	GSA	OEE	140000	10	290	112	393	0.425	0.721	0.575	0.279	0.535	0.553	0.365
FullSet	0	Raw	GSA	OEE	140000	15	455	659	790	0.365	0.408	0.635	0.592	0.386	0.386	0.239
FullSet	0	QCd	GSA	OEE	140000	15	283	100	351	0.446	0.739	0.554	0.261	0.557	0.574	0.386
FullSet	0	Raw	GSA	OEE	140000	20	440	632	682	0.392	0.41	0.608	0.59	0.401	0.401	0.251
FullSet	0	QCd	GSA	OEE	140000	20	276	99	312	0.469	0.736	0.531	0.264	0.573	0.588	0.402
FullSet	0	Raw	GSA	OEE	140000	25	402	587	575	0.411	0.406	0.589	0.594	0.409	0.409	0.257
FullSet	0	QCd	GSA	OEE	140000	25	249	97	267	0.483	0.72	0.517	0.28	0.578	0.589	0.406
FullSet	0	Raw	GSA	OEE	140000	30	351	580	481	0.422	0.377	0.578	0.623	0.398	0.399	0.249
FullSet	0	QCd	GSA	OEE	140000	30	221	105	221	0.5	0.678	0.5	0.322	0.576	0.582	0.404
FullSet	0	Raw	GSA	OEE	140000	35	322	538	418	0.435	0.374	0.565	0.626	0.402	0.404	0.252
FullSet	0	QCd	GSA	OEE	140000	35	198	97	192	0.508	0.671	0.492	0.329	0.578	0.584	0.407
FullSet	0	Raw	GSA	OEE	140000	40	300	500	356	0.457	0.375	0.543	0.625	0.412	0.414	0.26
FullSet	0	QCd	GSA	OEE	140000	40	183	95	155	0.541	0.658	0.459	0.342	0.594	0.597	0.423
FullSet	0	Raw	GSA	OEE	140000	45	270	454	283	0.488	0.373	0.512	0.627	0.423	0.427	0.268
FullSet	0	QCd	GSA	OEE	140000	45	163	90	121	0.574	0.644	0.426	0.356	0.607	0.608	0.436
FullSet	0	Raw	GSA	OEE	140000	50	232	418	221	0.512	0.357	0.488	0.643	0.421	0.428	0.266
FullSet	0	QCd	GSA	OEE	140000	50	141	77	90	0.61	0.647	0.39	0.353	0.628	0.628	0.458
FullSet	0	Raw	GSA	OEE	160000	10	380	603	653	0.368	0.387	0.632	0.613	0.377	0.377	0.232
FullSet	0	QCd	GSA	OEE	160000	10	236	89	296	0.444	0.726	0.556	0.274	0.551	0.568	0.38
FullSet	0	Raw	GSA	OEE	160000	15	365	548	596	0.38	0.4	0.62	0.6	0.39	0.39	0.242
FullSet	0	QCd	GSA	OEE	160000	15	231	79	266	0.465	0.745	0.535	0.255	0.572	0.589	0.401
FullSet	0	Raw	GSA	OEE	160000	20	360	520	525	0.407	0.409	0.593	0.591	0.408	0.408	0.256
FullSet	0	QCd	GSA	OEE	160000	20	228	74	242	0.485	0.755	0.515	0.245	0.591	0.605	0.419
FullSet	0	Raw	GSA	OEE	160000	25	345	471	444	0.437	0.423	0.563	0.577	0.43	0.43	0.274
FullSet	0	QCd	GSA	OEE	160000	25	218	65	203	0.518	0.77	0.482	0.23	0.619	0.632	0.449
FullSet	0	Raw	GSA	OEE	160000	30	301	473	365	0.452	0.389	0.548	0.611	0.418	0.419	0.264
FullSet	0	QCd	GSA	OEE	160000	30	192	75	159	0.547	0.719	0.453	0.281	0.621	0.627	0.451
FullSet	0	Raw	GSA	OEE	160000	35	281	455	322	0.466	0.382	0.534	0.618	0.42	0.422	0.266
FullSet	0	QCd	GSA	OEE	160000	35	177	78	143	0.553	0.694	0.447	0.306	0.616	0.62	0.445
FullSet	0	Raw	GSA	OEE	160000	40	269	427	287	0.484	0.386	0.516	0.614	0.43	0.432	0.274
FullSet	0	QCd	GSA	OEE	160000	40	168	77	123	0.577	0.686	0.423	0.314	0.627	0.629	0.457
FullSet	0	Raw	GSA	OEE	160000	45	252	391	241	0.511	0.392	0.489	0.608	0.444	0.448	0.285
FullSet	0	QCd	GSA	OEE	160000	45	156	74	105	0.598	0.678	0.402	0.322	0.635	0.637	0.466
FullSet	0	Raw	GSA	OEE	160000	50	219	372	201	0.521	0.371	0.479	0.629	0.433	0.44	0.277
FullSet	0	QCd	GSA	OEE	160000	50	135	71	84	0.616	0.655	0.384	0.345	0.635	0.636	0.466
FullSet	0	Raw	GSA	OEE	180000	10	294	476	409	0.418	0.382	0.582	0.618	0.399	0.4	0.249
FullSet	0	QCd	GSA	OEE	180000	10	183	50	186	0.496	0.785	0.504	0.215	0.608	0.624	0.437
FullSet	0	Raw	GSA	OEE	180000	15	283	424	363	0.438	0.4	0.562	0.6	0.418	0.419	0.264
FullSet	0	QCd	GSA	OEE	180000	15	178	41	161	0.525	0.813	0.475	0.187	0.638	0.653	0.468
FullSet	0	Raw	GSA	OEE	180000	20	278	403	323	0.463	0.408	0.537	0.592	0.434	0.435	0.277
FullSet	0	QCd	GSA	OEE	180000	20	175	39	149	0.54	0.818	0.46	0.182	0.651	0.665	0.482
FullSet	0	Raw	GSA	OEE	180000	25	272	377	289	0.485	0.419	0.515	0.581	0.45	0.451	0.29
FullSet	0	QCd	GSA	OEE	180000	25	171	39	137	0.555	0.814	0.445	0.186	0.66	0.672	0.493
FullSet	0	Raw	GSA	OEE	180000	30	259	368	250	0.509	0.413	0.491	0.587	0.456	0.458	0.295
FullSet	0	QCd	GSA	OEE	180000	30	164	39	121	0.575	0.808	0.425	0.192	0.672	0.682	0.506
FullSet	0	Raw	GSA	OEE	180000	35	247	352	232	0.516	0.412	0.484	0.588	0.458	0.461	0.297
FullSet	0	QCd	GSA	OEE	180000	35	156	38	110	0.586	0.804	0.414	0.196	0.678	0.687	0.513
FullSet	0	Raw	GSA	OEE	180000	40	238	332	207	0.535	0.418	0.465	0.582	0.469	0.473	0.306
FullSet	0	QCd	GSA	OEE	180000	40	149	40	96	0.608	0.788	0.392	0.212	0.687	0.692	0.523
FullSet	0	Raw	GSA	OEE	180000	45	224	303	171	0.567	0.425	0.433	0.575	0.486	0.491	0.321
FullSet	0	QCd	GSA	OEE	180000	45	139	36	83	0.626	0.794	0.374	0.206	0.7	0.705	0.539
FullSet	0	Raw	GSA	OEE	180000	50	209	284	148	0.585	0.424	0.415	0.576	0.492	0.498	0.326
FullSet	0	QCd	GSA	OEE	180000	50	127	35	71	0.641	0.784	0.359	0.216	0.706	0.709	0.545
FullSet	0	Raw	GSA	OEE	200000	10	268	394	328	0.45	0.405	0.55	0.595	0.426	0.427	0.271
FullSet	0	QCd	GSA	OEE	200000	10	168	46	148	0.532	0.785	0.468	0.215	0.634	0.646	0.464
FullSet	0	Raw	GSA	OEE	200000	15	259	347	271	0.489	0.427	0.511	0.573	0.456	0.457	0.295
FullSet	0	QCd	GSA	OEE	200000	15	164	39	126	0.566	0.808	0.434	0.192	0.665	0.676	0.498
FullSet	0	Raw	GSA	OEE	200000	20	255	329	238	0.517	0.437	0.483	0.563	0.474	0.475	0.31
FullSet	0	QCd	GSA	OEE	200000	20	162	37	118	0.579	0.814	0.421	0.186	0.676	0.686	0.511
FullSet	0	Raw	GSA	OEE	200000	25	250	306	219	0.533	0.45	0.467	0.55	0.488	0.49	0.323
FullSet	0	QCd	GSA	OEE	200000	25	158	37	111	0.587	0.81	0.413	0.19	0.681	0.69	0.516
FullSet	0	Raw	GSA	OEE	200000	30	240	298	202	0.543	0.446	0.457	0.554	0.49	0.492	0.324
FullSet	0	QCd	GSA	OEE	200000	30	153	34	107	0.588	0.818	0.412	0.182	0.685	0.694	0.52
FullSet	0	Raw	GSA	OEE	200000	35	231	285	188	0.551	0.448	0.449	0.552	0.494	0.497	0.328
FullSet	0	QCd	GSA	OEE	200000	35	147	33	99	0.598	0.817	0.402	0.183	0.69	0.699	0.527
FullSet	0	Raw	GSA	OEE	200000	40	223	270	169	0.569	0.452	0.431	0.548	0.504	0.507	0.337
FullSet	0	QCd	GSA	OEE	200000	40	141	34	87	0.618	0.806	0.382	0.194	0.7	0.706	0.538
FullSet	0	Raw	GSA	OEE	200000	45	212	254	156	0.576	0.455	0.424	0.545	0.508	0.512	0.341
FullSet	0	QCd	GSA	OEE	200000	45	133	29	78	0.63	0.821	0.37	0.179	0.713	0.719	0.554
FullSet	0	Raw	GSA	OEE	200000	50	201	241	134	0.6	0.455	0.4	0.545	0.517	0.522	0.349
FullSet	0	QCd	GSA	OEE	200000	50	124	28	67	0.649	0.816	0.351	0.184	0.723	0.728	0.566
FullSet	0	Raw	GSA	OEE	220000	10	220	312	265	0.454	0.414	0.546	0.586	0.433	0.433	0.276
FullSet	0	QCd	GSA	OEE	220000	10	138	35	116	0.543	0.798	0.457	0.202	0.646	0.658	0.478
FullSet	0	Raw	GSA	OEE	220000	15	213	275	218	0.494	0.436	0.506	0.564	0.464	0.464	0.302
FullSet	0	QCd	GSA	OEE	220000	15	136	29	100	0.576	0.824	0.424	0.176	0.678	0.689	0.513
FullSet	0	Raw	GSA	OEE	220000	20	210	261	190	0.525	0.446	0.475	0.554	0.482	0.484	0.318
FullSet	0	QCd	GSA	OEE	220000	20	135	29	94	0.59	0.823	0.41	0.177	0.687	0.697	0.523
FullSet	0	Raw	GSA	OEE	220000	25	206	243	174	0.542	0.459	0.458	0.541	0.497	0.499	0.331
FullSet	0	QCd	GSA	OEE	220000	25	132	28	87	0.603	0.825	0.397	0.175	0.697	0.705	0.534
FullSet	0	Raw	GSA	OEE	220000	30	198	239	156	0.559	0.453	0.441	0.547	0.501	0.503	0.334
FullSet	0	QCd	GSA	OEE	220000	30	128	28	85	0.601	0.821	0.399	0.179	0.694	0.702	0.531
FullSet	0	Raw	GSA	OEE	220000	35	191	233	149	0.562	0.45	0.438	0.55	0.5	0.503	0.333
FullSet	0	QCd	GSA	OEE	220000	35	123	27	81	0.603	0.82	0.397	0.18	0.695	0.703	0.532
FullSet	0	Raw	GSA	OEE	220000	40	184	225	134	0.579	0.45	0.421	0.55	0.506	0.51	0.339
FullSet	0	QCd	GSA	OEE	220000	40	118	28	71	0.624	0.808	0.376	0.192	0.704	0.71	0.544
FullSet	0	Raw	GSA	OEE	220000	45	174	220	121	0.59	0.442	0.41	0.558	0.505	0.51	0.338
FullSet	0	QCd	GSA	OEE	220000	45	111	26	62	0.642	0.81	0.358	0.19	0.716	0.721	0.558
FullSet	0	Raw	GSA	OEE	220000	50	166	210	110	0.601	0.441	0.399	0.559	0.509	0.515	0.342
FullSet	0	QCd	GSA	OEE	220000	50	104	25	56	0.65	0.806	0.35	0.194	0.72	0.724	0.562
FullSet	0	Raw	GSA	OEE	240000	10	186	258	215	0.464	0.419	0.536	0.581	0.44	0.441	0.282
FullSet	0	QCd	GSA	OEE	240000	10	117	30	95	0.552	0.796	0.448	0.204	0.652	0.663	0.483
FullSet	0	Raw	GSA	OEE	240000	15	181	245	191	0.487	0.425	0.513	0.575	0.454	0.455	0.293
FullSet	0	QCd	GSA	OEE	240000	15	116	29	89	0.566	0.8	0.434	0.2	0.663	0.673	0.496
FullSet	0	Raw	GSA	OEE	240000	20	179	230	169	0.514	0.438	0.486	0.562	0.473	0.474	0.31
FullSet	0	QCd	GSA	OEE	240000	20	116	28	86	0.574	0.806	0.426	0.194	0.671	0.68	0.504
FullSet	0	Raw	GSA	OEE	240000	25	176	213	155	0.532	0.452	0.468	0.548	0.489	0.49	0.324
FullSet	0	QCd	GSA	OEE	240000	25	114	27	80	0.588	0.809	0.412	0.191	0.681	0.689	0.516
FullSet	0	Raw	GSA	OEE	240000	30	171	208	138	0.553	0.451	0.447	0.549	0.497	0.5	0.331
FullSet	0	QCd	GSA	OEE	240000	30	111	26	78	0.587	0.81	0.413	0.19	0.681	0.69	0.516
FullSet	0	Raw	GSA	OEE	240000	35	166	202	131	0.559	0.451	0.441	0.549	0.499	0.502	0.333
FullSet	0	QCd	GSA	OEE	240000	35	107	25	73	0.594	0.811	0.406	0.189	0.686	0.694	0.522
FullSet	0	Raw	GSA	OEE	240000	40	160	199	118	0.576	0.446	0.424	0.554	0.502	0.506	0.335
FullSet	0	QCd	GSA	OEE	240000	40	103	26	64	0.617	0.798	0.383	0.202	0.696	0.702	0.534
FullSet	0	Raw	GSA	OEE	240000	45	151	200	110	0.579	0.43	0.421	0.57	0.493	0.499	0.328
FullSet	0	QCd	GSA	OEE	240000	45	96	27	60	0.615	0.78	0.385	0.22	0.688	0.693	0.525
FullSet	0	Raw	GSA	OEE	240000	50	144	191	100	0.59	0.43	0.41	0.57	0.497	0.504	0.331
FullSet	0	QCd	GSA	OEE	240000	50	90	25	54	0.625	0.783	0.375	0.217	0.695	0.699	0.533
FullSet	0	Raw	GSA	OEE	260000	10	156	211	151	0.508	0.425	0.492	0.575	0.463	0.465	0.301
FullSet	0	QCd	GSA	OEE	260000	10	99	23	67	0.596	0.811	0.404	0.189	0.688	0.696	0.524
FullSet	0	Raw	GSA	OEE	260000	15	155	203	143	0.52	0.433	0.48	0.567	0.473	0.475	0.309
FullSet	0	QCd	GSA	OEE	260000	15	98	20	63	0.609	0.831	0.391	0.169	0.703	0.711	0.541
FullSet	0	Raw	GSA	OEE	260000	20	153	194	129	0.543	0.441	0.457	0.559	0.486	0.489	0.321
FullSet	0	QCd	GSA	OEE	260000	20	98	20	61	0.616	0.831	0.384	0.169	0.708	0.715	0.547
FullSet	0	Raw	GSA	OEE	260000	25	150	180	121	0.554	0.455	0.446	0.545	0.499	0.502	0.333
FullSet	0	QCd	GSA	OEE	260000	25	96	19	59	0.619	0.835	0.381	0.165	0.711	0.719	0.552
FullSet	0	Raw	GSA	OEE	260000	30	147	174	106	0.581	0.458	0.419	0.542	0.512	0.516	0.344
FullSet	0	QCd	GSA	OEE	260000	30	95	17	58	0.621	0.848	0.379	0.152	0.717	0.726	0.559
FullSet	0	Raw	GSA	OEE	260000	35	143	171	101	0.586	0.455	0.414	0.545	0.513	0.517	0.345
FullSet	0	QCd	GSA	OEE	260000	35	92	17	55	0.626	0.844	0.374	0.156	0.719	0.727	0.561
FullSet	0	Raw	GSA	OEE	260000	40	142	166	93	0.604	0.461	0.396	0.539	0.523	0.528	0.354
FullSet	0	QCd	GSA	OEE	260000	40	91	16	49	0.65	0.85	0.35	0.15	0.737	0.744	0.583
FullSet	0	Raw	GSA	OEE	260000	45	135	167	85	0.614	0.447	0.386	0.553	0.517	0.524	0.349
FullSet	0	QCd	GSA	OEE	260000	45	85	17	45	0.654	0.833	0.346	0.167	0.733	0.738	0.578
FullSet	0	Raw	GSA	OEE	260000	50	129	158	78	0.623	0.449	0.377	0.551	0.522	0.529	0.353
FullSet	0	QCd	GSA	OEE	260000	50	80	16	41	0.661	0.833	0.339	0.167	0.737	0.742	0.584
