Method	MaxD	QC	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
BAF	100	QCd	All	Ultra Large	19	0	1	0.95	1	0.05	0	0.974	0.975	0.95
BAF	100	QCd	Deletions	All	7925	648	175196	0.043	0.924	0.957	0.076	0.083	0.2	0.043
BAF	100	QCd	Deletions	Small	5566	628	172718	0.031	0.899	0.969	0.101	0.06	0.167	0.031
BAF	100	QCd	Deletions	Medium	2255	20	2439	0.48	0.991	0.52	0.009	0.647	0.69	0.478
BAF	100	QCd	Deletions	Large	45	0	37	0.549	1	0.451	0	0.709	0.741	0.549
BAF	100	QCd	Deletions	Very Large	44	0	1	0.978	1	0.022	0	0.989	0.989	0.978
BAF	100	QCd	Deletions	Ultra Large	15	0	1	0.938	1	0.062	0	0.968	0.968	0.938
BAF	100	QCd	Duplications	All	7547	743	56568	0.118	0.91	0.882	0.09	0.208	0.327	0.116
BAF	100	QCd	Duplications	Small	4554	711	53449	0.079	0.865	0.921	0.135	0.144	0.261	0.078
BAF	100	QCd	Duplications	Medium	2692	29	3004	0.473	0.989	0.527	0.011	0.64	0.684	0.47
BAF	100	QCd	Duplications	Large	225	3	82	0.733	0.987	0.267	0.013	0.841	0.85	0.726
BAF	100	QCd	Duplications	Very Large	72	0	33	0.686	1	0.314	0	0.814	0.828	0.686
BAF	100	QCd	Duplications	Ultra Large	4	0	0	1	1	0	0	1	1	1
BAF	500	Raw	All	All	43011	5426	183832	0.19	0.888	0.81	0.112	0.312	0.41	0.185
BAF	500	Raw	All	Small	34803	5229	180102	0.162	0.869	0.838	0.131	0.273	0.375	0.158
BAF	500	Raw	All	Medium	7651	196	3651	0.677	0.975	0.323	0.025	0.799	0.812	0.665
BAF	500	Raw	All	Large	381	1	66	0.852	0.997	0.148	0.003	0.919	0.922	0.85
BAF	500	Raw	All	Very Large	161	0	13	0.925	1	0.075	0	0.961	0.962	0.925
BAF	500	Raw	All	Ultra Large	15	0	0	1	1	0	0	1	1	1
BAF	500	Raw	Deletions	All	26343	2244	139264	0.159	0.922	0.841	0.078	0.271	0.383	0.157
BAF	500	Raw	Deletions	Small	22516	2171	137602	0.141	0.912	0.859	0.088	0.244	0.358	0.139
BAF	500	Raw	Deletions	Medium	3713	73	1641	0.694	0.981	0.306	0.019	0.812	0.825	0.684
BAF	500	Raw	Deletions	Large	57	0	20	0.74	1	0.26	0	0.851	0.86	0.74
BAF	500	Raw	Deletions	Very Large	47	0	1	0.979	1	0.021	0	0.989	0.99	0.979
BAF	500	Raw	Deletions	Ultra Large	10	0	0	1	1	0	0	1	1	1
BAF	500	Raw	Duplications	All	16668	3182	44568	0.272	0.84	0.728	0.16	0.411	0.478	0.259
BAF	500	Raw	Duplications	Small	12287	3058	42500	0.224	0.801	0.776	0.199	0.35	0.424	0.212
BAF	500	Raw	Duplications	Medium	3938	123	2010	0.662	0.97	0.338	0.03	0.787	0.801	0.649
BAF	500	Raw	Duplications	Large	324	1	46	0.876	0.997	0.124	0.003	0.932	0.934	0.873
BAF	500	Raw	Duplications	Very Large	114	0	12	0.905	1	0.095	0	0.95	0.951	0.905
BAF	500	Raw	Duplications	Ultra Large	5	0	0	1	1	0	0	1	1	1
BAF	500	QCd	All	All	20447	1338	216308	0.086	0.939	0.914	0.061	0.158	0.285	0.086
BAF	500	QCd	All	Small	13447	1204	211814	0.06	0.918	0.94	0.082	0.112	0.234	0.059
BAF	500	QCd	All	Medium	6539	133	4362	0.6	0.98	0.4	0.02	0.744	0.767	0.593
BAF	500	QCd	All	Large	334	1	102	0.766	0.997	0.234	0.003	0.866	0.874	0.764
BAF	500	QCd	All	Very Large	113	0	30	0.79	1	0.21	0	0.883	0.889	0.79
BAF	500	QCd	All	Ultra Large	14	0	0	1	1	0	0	1	1	1
BAF	500	QCd	Deletions	All	10897	514	165148	0.062	0.955	0.938	0.045	0.116	0.243	0.062
BAF	500	QCd	Deletions	Small	7444	453	163211	0.044	0.943	0.956	0.057	0.083	0.203	0.044
BAF	500	QCd	Deletions	Medium	3348	61	1905	0.637	0.982	0.363	0.018	0.773	0.791	0.63
BAF	500	QCd	Deletions	Large	53	0	31	0.631	1	0.369	0	0.774	0.794	0.631
BAF	500	QCd	Deletions	Very Large	42	0	1	0.977	1	0.023	0	0.988	0.988	0.977
BAF	500	QCd	Deletions	Ultra Large	10	0	0	1	1	0	0	1	1	1
BAF	500	QCd	Duplications	All	9550	824	51160	0.157	0.921	0.843	0.079	0.269	0.381	0.155
BAF	500	QCd	Duplications	Small	6003	751	48603	0.11	0.889	0.89	0.111	0.196	0.313	0.108
BAF	500	QCd	Duplications	Medium	3191	72	2457	0.565	0.978	0.435	0.022	0.716	0.743	0.558
BAF	500	QCd	Duplications	Large	281	1	71	0.798	0.996	0.202	0.004	0.886	0.892	0.796
BAF	500	QCd	Duplications	Very Large	71	0	29	0.71	1	0.29	0	0.83	0.843	0.71
BAF	500	QCd	Duplications	Ultra Large	4	0	0	1	1	0	0	1	1	1
BAF	1000	Raw	All	All	51211	5532	171131	0.23	0.903	0.77	0.097	0.367	0.456	0.225
BAF	1000	Raw	All	Small	42112	5329	168076	0.2	0.888	0.8	0.112	0.327	0.422	0.195
BAF	1000	Raw	All	Medium	8499	201	3016	0.738	0.977	0.262	0.023	0.841	0.849	0.725
BAF	1000	Raw	All	Large	420	2	29	0.935	0.995	0.065	0.005	0.964	0.965	0.931
BAF	1000	Raw	All	Very Large	166	0	10	0.943	1	0.057	0	0.971	0.971	0.943
BAF	1000	Raw	All	Ultra Large	14	0	0	1	1	0	0	1	1	1
BAF	1000	Raw	Deletions	All	31876	2442	129844	0.197	0.929	0.803	0.071	0.325	0.428	0.194
BAF	1000	Raw	Deletions	Small	27690	2352	128406	0.177	0.922	0.823	0.078	0.298	0.404	0.175
BAF	1000	Raw	Deletions	Medium	4073	90	1426	0.741	0.978	0.259	0.022	0.843	0.851	0.729
BAF	1000	Raw	Deletions	Large	57	0	11	0.838	1	0.162	0	0.912	0.916	0.838
BAF	1000	Raw	Deletions	Very Large	46	0	1	0.979	1	0.021	0	0.989	0.989	0.979
BAF	1000	Raw	Deletions	Ultra Large	10	0	0	1	1	0	0	1	1	1
BAF	1000	Raw	Duplications	All	19335	3090	41287	0.319	0.862	0.681	0.138	0.466	0.524	0.303
BAF	1000	Raw	Duplications	Small	14422	2977	39670	0.267	0.829	0.733	0.171	0.403	0.47	0.253
BAF	1000	Raw	Duplications	Medium	4426	111	1590	0.736	0.976	0.264	0.024	0.839	0.847	0.722
BAF	1000	Raw	Duplications	Large	363	2	18	0.953	0.995	0.047	0.005	0.973	0.973	0.948
BAF	1000	Raw	Duplications	Very Large	120	0	9	0.93	1	0.07	0	0.964	0.964	0.93
BAF	1000	Raw	Duplications	Ultra Large	4	0	0	1	1	0	0	1	1	1
BAF	1000	QCd	All	All	22675	1212	212882	0.096	0.949	0.904	0.051	0.175	0.302	0.096
BAF	1000	QCd	All	Small	14962	1070	208831	0.067	0.933	0.933	0.067	0.125	0.25	0.067
BAF	1000	QCd	All	Medium	7209	140	3953	0.646	0.981	0.354	0.019	0.779	0.796	0.638
BAF	1000	QCd	All	Large	375	2	69	0.845	0.995	0.155	0.005	0.914	0.917	0.841
BAF	1000	QCd	All	Very Large	115	0	29	0.799	1	0.201	0	0.888	0.894	0.799
BAF	1000	QCd	All	Ultra Large	14	0	0	1	1	0	0	1	1	1
BAF	1000	QCd	Deletions	All	12075	511	163106	0.069	0.959	0.931	0.041	0.129	0.257	0.069
BAF	1000	QCd	Deletions	Small	8346	434	161293	0.049	0.951	0.951	0.049	0.094	0.216	0.049
BAF	1000	QCd	Deletions	Medium	3622	77	1787	0.67	0.979	0.33	0.021	0.795	0.81	0.66
